date,label,Differential_pressure,Flow_rate,Dust_feed,RUL
1970-01-01 00:00:00.100000000,1,0.271267,52.2819934252226,236.428943198285,58.9
1970-01-01 00:00:00.200000000,1,0.36169,54.986671276298,236.428943198285,58.8
1970-01-01 00:00:00.300000000,1,0.0,55.4247862454673,236.428943198285,58.7
1970-01-01 00:00:00.400000000,1,2.622251,55.52414587973,236.428943198285,58.6
1970-01-01 00:00:00.500000000,1,3.888165,55.8520178971313,236.428943198285,58.5
1970-01-01 00:00:00.600000000,1,4.521122,56.1302033811896,236.428943198285,58.4
1970-01-01 00:00:00.700000000,1,4.521122,56.1500699350728,236.428943198285,58.3
1970-01-01 00:00:00.800000000,1,4.521122,56.0904568409999,236.428943198285,58.2
1970-01-01 00:00:00.900000000,1,5.787037,55.583758973803,236.428943198285,58.1
1970-01-01 00:00:01.000000000,1,4.521122,56.1003968341531,236.428943198285,58.0
1970-01-01 00:00:01.100000000,1,4.521122,56.0010371998905,236.428943198285,57.9
1970-01-01 00:00:01.200000000,1,4.521122,56.0010371998905,236.428943198285,57.8
1970-01-01 00:00:01.300000000,1,4.521122,56.1103368273063,236.428943198285,57.7
1970-01-01 00:00:01.400000000,1,5.787037,56.0109771930437,236.428943198285,57.6
1970-01-01 00:00:01.500000000,1,5.787037,56.6468412415398,236.428943198285,57.5
1970-01-01 00:00:01.600000000,1,5.787037,56.279236116372,236.428943198285,57.4
1970-01-01 00:00:01.700000000,1,5.787037,56.1997430359926,236.428943198285,57.3
1970-01-01 00:00:01.800000000,1,5.787037,56.2494295693355,236.428943198285,57.2
1970-01-01 00:00:01.900000000,1,5.787037,56.0010371998905,236.428943198285,57.1
1970-01-01 00:00:02.000000000,1,6.419994,56.279236116372,236.428943198285,57.0
1970-01-01 00:00:02.100000000,1,6.419994,56.3090426634085,236.428943198285,56.9
1970-01-01 00:00:02.200000000,1,6.419994,56.279236116372,236.428943198285,56.8
1970-01-01 00:00:02.300000000,1,5.787037,55.9811706460072,236.428943198285,56.7
1970-01-01 00:00:02.400000000,1,5.787037,55.9613040921239,236.428943198285,56.6
1970-01-01 00:00:02.500000000,1,5.787037,56.289162677102,236.428943198285,56.5
1970-01-01 00:00:02.600000000,1,5.787037,56.2593561300655,236.428943198285,56.4
1970-01-01 00:00:02.700000000,1,5.787037,56.289162677102,236.428943198285,56.3
1970-01-01 00:00:02.800000000,1,5.696614,56.7064543356127,236.428943198285,56.2
1970-01-01 00:00:02.900000000,1,6.329571,56.2991026702552,236.428943198285,56.1
1970-01-01 00:00:03.000000000,1,6.329571,56.1898164752626,236.428943198285,56.0
1970-01-01 00:00:03.100000000,1,5.967882,56.4083888652479,236.428943198285,55.9
1970-01-01 00:00:03.200000000,1,5.967882,56.0904568409999,236.428943198285,55.8
1970-01-01 00:00:03.300000000,1,4.701968,56.3189692241385,236.428943198285,55.7
1970-01-01 00:00:03.400000000,1,5.87746,56.0606502939634,236.428943198285,55.6
1970-01-01 00:00:03.500000000,1,5.967882,56.1898164752626,236.428943198285,55.5
1970-01-01 00:00:03.600000000,1,6.510417,56.2991026702552,236.428943198285,55.4
1970-01-01 00:00:03.700000000,1,5.967882,56.3388492104449,236.428943198285,55.3
1970-01-01 00:00:03.800000000,1,6.600839,56.3785823182115,236.428943198285,55.2
1970-01-01 00:00:03.900000000,1,6.600839,56.1103368273063,236.428943198285,55.1
1970-01-01 00:00:04.000000000,1,6.600839,56.4680019593209,236.428943198285,55.0
1970-01-01 00:00:04.099999999,1,6.600839,56.2991026702552,236.428943198285,54.9
1970-01-01 00:00:04.200000000,1,6.600839,56.1699364889561,236.428943198285,54.8
1970-01-01 00:00:04.300000000,1,7.866754,56.4083888652479,236.428943198285,54.7
1970-01-01 00:00:04.400000000,1,6.510417,56.3885223113647,236.428943198285,54.6
1970-01-01 00:00:04.500000000,1,6.600839,56.0308437469269,236.428943198285,54.5
1970-01-01 00:00:04.600000000,1,5.967882,56.1202633880364,236.428943198285,54.4
